movie,year,numberofwords,time,toptenwords
ZorbatheGreeksrt,1964,5571,134.95mins,"['greek', 'boss', 'they', 'are', 'zorba', 'continues', 'with', 'your', 'do', 'will']"
AThousandClownssrt,1965,13727,117.01mins,"['murray', 'your', 'do', 'there', 'with', 'now', 'are', 'know', 'm', 'here']"
CatBallousrt,1965,7250,92.12mins,"['l', 'they', 'll', 'do', 'him', 're', 'with', 'your', 'just', 'there']"
Darlingsrt,1965,11202,124.94mins,"['know', 'do', 'yes', 'with', 'are', 'one', 'so', 'just', 'your', 'as']"
DoctorZhivagosrt,1965,10014,198.31mins,"['your', 'yes', 'they', 'know', 'do', 'there', 're', 'yuri', 've', 'm']"
Shenandoahsrt,1965,7568,104.83mins,"['do', 'they', 're', 'your', 'here', 'll', 'know', 'just', 'if', 'go']"
ShipofFoolssrt,1965,11465,148.51mins,"['l', 'are', 'know', 'do', 'with', 'your', 'm', 'they', 'lt', 'good']"
ThatDarnCatsrt,1965,13065,116.23mins,"['your', 'do', 'cat', 'here', 'there', 'him', 're', 'm', 'out', 'up']"
TheGreatRacesrt,1965,8629,151.57mins,"['your', 're', 'm', 'll', 'professor', 'leslie', 'are', 'up', 'there', 'with']"
TheSoundofMusicsrt,1965,15125,166.71mins,"['do', 'with', 'so', 'm', 'are', 're', 'maria', 'your', 'odl', 'they']"
ThoseMagnificentMeninTheirFlyingMachinessrt,1965,9658,129.67mins,"['do', 'are', 'm', 'your', 'll', 'but', 'flying', 'yes', 'up', 'right']"
Thunderballsrt,1965,7392,130.19mins,"['bond', 'your', 'll', 'do', 'mr', 'here', 'now', 'there', 'look', 'at']"
VonRyansExpresssrt,1965,5213,116.23mins,"['major', 'are', 'your', 're', 'wiii', 'coionei', 'they', 'ii', 'here', 'now']"
WhatsNewPussycatsrt,1965,11126,104.06mins,"['m', 'your', 'do', 'here', 're', 'are', 'love', 'pussycat', 've', 'go']"
AManforAllSeasonssrt,1966,10640,119.72mins,"['your', 'thomas', 'will', 'but', 'king', 'yes', 'if', 'do', 'his', 'with']"
Alfiesrt,1966,12241,106.60mins,"['ll', 'do', 'your', 've', 'him', 'got', 'with', 'm', 'about', 'know']"
GeorgyGirlsrt,1966,8093,94.72mins,"['georgy', 'jos', 're', 'm', 'do', 'll', 'come', 'your', 'meredith', 'are']"
GrandPrixsrt,1966,13772,175.86mins,"['are', 'do', 'there', 'with', 'but', 'at', 'aron', 'sarti', 'now', 'know']"
Hawaiisrt,1966,11668,159.60mins,"['will', 'your', 'god', 'with', 'are', 'they', 'hale', 'them', 'go', 'but']"
